name,status,trial_seed,exception,traceback,bucket,"metric:accuracy [0.0, 1.0] (maximize)",config:RandomForestClassifier:n_estimators,config:RandomForestClassifier:max_samples,memory:start_vms,memory:end_vms,memory:diff_vms,memory:start_rss,memory:end_rss,memory:diff_rss,memory:unit,time:start,time:end,time:duration,time:kind,time:unit,deepcave:time:start,deepcave:time:end
trial_number=0,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,58,0.772446983526408,1837895680,1837895680,0,126160896,128454656,2293760,bytes,0.0,0.03582477569580078,0.03582477569580078,wall,seconds,0.0,0.03582477569580078
trial_number=1,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,100,0.8393708736980802,1837895680,1838030848,135168,126324736,128946176,2621440,bytes,0.0013878345489501953,0.05954456329345703,0.058156728744506836,wall,seconds,0.0013878345489501953,0.05954456329345703
trial_number=2,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,80,0.30694960232887414,1838034944,1838034944,0,128782336,128782336,0,bytes,0.04006695747375488,0.08456087112426758,0.044493913650512695,wall,seconds,0.04006695747375488,0.08456087112426758
trial_number=3,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,77,0.4954349260017564,1838030848,1838030848,0,128946176,128946176,0,bytes,0.06517338752746582,0.10726809501647949,0.04209470748901367,wall,seconds,0.06517338752746582,0.10726809501647949
trial_number=4,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,87,0.5922734876108152,1838034944,1838034944,0,128782336,128782336,0,bytes,0.08789300918579102,0.13605213165283203,0.048159122467041016,wall,seconds,0.08789300918579102,0.13605213165283203
trial_number=5,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,50,0.21432940733551176,1838030848,1838030848,0,128946176,128946176,0,bytes,0.11176490783691406,0.13867831230163574,0.02691340446472168,wall,seconds,0.11176490783691406,0.13867831230163574
trial_number=7,success,170679558,NA,NA,optuna-doc-example,0.9210526315789473,59,0.5018696596728419,1838030848,1838030848,0,128946176,128946176,0,bytes,0.1418311595916748,0.17589211463928223,0.03406095504760742,wall,seconds,0.1418311595916748,0.17589211463928223
trial_number=6,success,170679558,NA,NA,optuna-doc-example,1.0,90,0.6341103542869677,1838034944,1838034944,0,128782336,128946176,163840,bytes,0.13916468620300293,0.19153428077697754,0.05236959457397461,wall,seconds,0.13916468620300293,0.19153428077697754
trial_number=8,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,63,0.8012767915613224,1838030848,1838030848,0,128946176,128946176,0,bytes,0.17948222160339355,0.2151634693145752,0.03568124771118164,wall,seconds,0.17948222160339355,0.2151634693145752
trial_number=9,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,50,0.8648623104603445,1838034944,1838034944,0,128946176,128946176,0,bytes,0.19625496864318848,0.22477984428405762,0.02852487564086914,wall,seconds,0.19625496864318848,0.22477984428405762
trial_number=11,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,25,0.12238331448354267,1838034944,1838034944,0,128946176,128946176,0,bytes,0.23376083374023438,0.24778485298156738,0.014024019241333008,wall,seconds,0.23376083374023438,0.24778485298156738
trial_number=10,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,59,0.7364043279082816,1838030848,1838030848,0,128946176,128946176,0,bytes,0.2185039520263672,0.25134706497192383,0.03284311294555664,wall,seconds,0.2185039520263672,0.25134706497192383
trial_number=12,success,170679558,NA,NA,optuna-doc-example,0.9210526315789473,79,0.621527787710996,1838034944,1838034944,0,128946176,128946176,0,bytes,0.2561299800872803,0.3008415699005127,0.04471158981323242,wall,seconds,0.2561299800872803,0.3008415699005127
trial_number=13,success,170679558,NA,NA,optuna-doc-example,1.0,81,0.6110689909190874,1838030848,1838030848,0,128946176,128946176,0,bytes,0.26172447204589844,0.30663466453552246,0.04491019248962402,wall,seconds,0.26172447204589844,0.30663466453552246
trial_number=14,success,170679558,NA,NA,optuna-doc-example,0.9210526315789473,100,0.3960131468712714,1838034944,1838034944,0,128946176,128946176,0,bytes,0.3081550598144531,0.36733388900756836,0.059178829193115234,wall,seconds,0.3081550598144531,0.36733388900756836
trial_number=15,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,98,0.6687384222351076,1838030848,1838030848,0,128946176,128946176,0,bytes,0.31413722038269043,0.37369608879089355,0.059558868408203125,wall,seconds,0.31413722038269043,0.37369608879089355
trial_number=16,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,11,0.675999388039778,1838034944,1838034944,0,128946176,128946176,0,bytes,0.37848806381225586,0.3850691318511963,0.00658106803894043,wall,seconds,0.37848806381225586,0.3850691318511963
trial_number=17,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,32,0.7002601461714129,1838030848,1838030848,0,128946176,128946176,0,bytes,0.3858983516693115,0.4034550189971924,0.01755666732788086,wall,seconds,0.3858983516693115,0.4034550189971924
trial_number=18,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,70,0.5468076005242348,1838034944,1838034944,0,128946176,128946176,0,bytes,0.3930075168609619,0.43405652046203613,0.04104900360107422,wall,seconds,0.3930075168609619,0.43405652046203613
trial_number=19,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,71,0.8975601987324844,1838030848,1838030848,0,128946176,128946176,0,bytes,0.41253209114074707,0.4521820545196533,0.03964996337890625,wall,seconds,0.41253209114074707,0.4521820545196533
trial_number=20,success,170679558,NA,NA,optuna-doc-example,1.0,88,0.44022764267933023,1838034944,1838034944,0,128946176,128946176,0,bytes,0.44205474853515625,0.49221110343933105,0.050156354904174805,wall,seconds,0.44205474853515625,0.49221110343933105
trial_number=21,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,90,0.44108615525029327,1838030848,1838030848,0,128946176,128946176,0,bytes,0.4598734378814697,0.5107507705688477,0.05087733268737793,wall,seconds,0.4598734378814697,0.5107507705688477
trial_number=22,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,89,0.4377769677938882,1838034944,1838034944,0,128946176,128946176,0,bytes,0.5003354549407959,0.5492527484893799,0.048917293548583984,wall,seconds,0.5003354549407959,0.5492527484893799
trial_number=23,success,170679558,NA,NA,optuna-doc-example,0.9210526315789473,88,0.605334784086729,1838030848,1838030848,0,128946176,128946176,0,bytes,0.5185341835021973,0.5670039653778076,0.04846978187561035,wall,seconds,0.5185341835021973,0.5670039653778076
trial_number=24,success,170679558,NA,NA,optuna-doc-example,1.0,87,0.6001212459805039,1838034944,1838034944,0,128946176,128946176,0,bytes,0.5572633743286133,0.6057987213134766,0.04853534698486328,wall,seconds,0.5572633743286133,0.6057987213134766
trial_number=25,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,69,0.5472141205699906,1838030848,1838030848,0,128946176,128946176,0,bytes,0.5754895210266113,0.6131646633148193,0.03767514228820801,wall,seconds,0.5754895210266113,0.6131646633148193
trial_number=26,success,170679558,NA,NA,optuna-doc-example,1.0,72,0.5211130132662937,1838034944,1838034944,0,128946176,128946176,0,bytes,0.6150438785552979,0.6554441452026367,0.04040026664733887,wall,seconds,0.6150438785552979,0.6554441452026367
trial_number=27,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,94,0.3575893350782749,1838030848,1838030848,0,128946176,129110016,163840,bytes,0.6211066246032715,0.6731107234954834,0.052004098892211914,wall,seconds,0.6211066246032715,0.6731107234954834
trial_number=28,success,170679558,NA,NA,optuna-doc-example,0.868421052631579,84,0.7492971700679003,1838174208,1838174208,0,129110016,129110016,0,bytes,0.6635839939117432,0.7099764347076416,0.04639244079589844,wall,seconds,0.6635839939117432,0.7099764347076416
trial_number=29,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,82,0.7388873592748435,1838178304,1838178304,0,129110016,129110016,0,bytes,0.6818814277648926,0.7267932891845703,0.044911861419677734,wall,seconds,0.6818814277648926,0.7267932891845703
trial_number=30,success,170679558,NA,NA,optuna-doc-example,0.8947368421052632,40,0.6598921789998182,1838174208,1838174208,0,129110016,129110016,0,bytes,0.7185614109039307,0.7409296035766602,0.022368192672729492,wall,seconds,0.7185614109039307,0.7409296035766602
trial_number=31,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,95,0.6302319203110368,1838178304,1838178304,0,129110016,129110016,0,bytes,0.734938383102417,0.7867224216461182,0.05178403854370117,wall,seconds,0.734938383102417,0.7867224216461182
trial_number=32,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,93,0.5875028370425257,1838174208,1838174208,0,129110016,129110016,0,bytes,0.7494142055511475,0.8003144264221191,0.05090022087097168,wall,seconds,0.7494142055511475,0.8003144264221191
trial_number=33,success,170679558,NA,NA,optuna-doc-example,0.9473684210526315,93,0.5518488418817248,1838178304,1838178304,0,129110016,129110016,0,bytes,0.7945342063903809,0.8511998653411865,0.056665658950805664,wall,seconds,0.7945342063903809,0.8511998653411865
trial_number=34,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,77,0.5601252510441672,1838174208,1838174208,0,129110016,129110016,0,bytes,0.8091471195220947,0.8569657802581787,0.047818660736083984,wall,seconds,0.8091471195220947,0.8569657802581787
trial_number=35,success,170679558,NA,NA,optuna-doc-example,0.9736842105263158,80,0.4552131509484977,1838178304,1838178304,0,129110016,129110016,0,bytes,0.8630926609039307,0.9074349403381348,0.0443422794342041,wall,seconds,0.8630926609039307,0.9074349403381348
trial_number=36,success,170679558,NA,NA,optuna-doc-example,1.0,85,0.4755368147533303,1838174208,1838174208,0,129110016,129110016,0,bytes,0.8698465824127197,0.9155442714691162,0.045697689056396484,wall,seconds,0.8698465824127197,0.9155442714691162
trial_number=38,success,170679558,NA,NA,optuna-doc-example,0.9210526315789473,65,0.504300676499594,1838174208,1838174208,0,129110016,129110016,0,bytes,0.9231574535369873,0.9579551219940186,0.03479766845703125,wall,seconds,0.9231574535369873,0.9579551219940186
