name,status,trial_seed,exception,traceback,bucket,"metric:accuracy [0.0, 1.0] (maximize)",config:RandomForestClassifier:max_samples,config:RandomForestClassifier:n_estimators,memory:start_vms,memory:end_vms,memory:diff_vms,memory:start_rss,memory:end_rss,memory:diff_rss,memory:unit,time:start,time:end,time:duration,time:kind,time:unit,deepcave:time:start,deepcave:time:end
config_id=1_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9473684210526315,0.6949125602841377,41,1845944320,1845944320,0,131727360,133857280,2129920,bytes,0.0,0.026119470596313477,0.026119470596313477,wall,seconds,0.0,0.026119470596313477
config_id=2_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9473684210526315,0.19311549812555315,65,1845944320,1845944320,0,131727360,133693440,1966080,bytes,1.430511474609375e-06,0.03903603553771973,0.03903460502624512,wall,seconds,1.430511474609375e-06,0.03903603553771973
config_id=3_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9736842105263158,0.47473776936531065,26,1845944320,1845944320,0,134021120,134021120,0,bytes,0.03318285942077637,0.0491023063659668,0.01591944694519043,wall,seconds,0.03318285942077637,0.0491023063659668
config_id=5_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9736842105263158,0.8554205745458603,11,1845944320,1845944320,0,134021120,134021120,0,bytes,0.05526113510131836,0.06254339218139648,0.007282257080078125,wall,seconds,0.05526113510131836,0.06254339218139648
config_id=4_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9736842105263158,0.7639860868453979,93,1845944320,1845944320,0,133693440,133693440,0,bytes,0.04684948921203613,0.09941911697387695,0.05256962776184082,wall,seconds,0.04684948921203613,0.09941911697387695
config_id=6_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9473684210526315,0.3568262368440628,78,1845944320,1845944320,0,134021120,134021120,0,bytes,0.06881976127624512,0.11229801177978516,0.04347825050354004,wall,seconds,0.06881976127624512,0.11229801177978516
config_id=7_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9473684210526315,0.2751185283064842,50,1845944320,1845944320,0,133693440,133693440,0,bytes,0.10627126693725586,0.1351487636566162,0.02887749671936035,wall,seconds,0.10627126693725586,0.1351487636566162
config_id=9_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,1.0,0.5409468181431294,31,1845944320,1845944320,0,133693440,133693440,0,bytes,0.14322590827941895,0.16147994995117188,0.01825404167175293,wall,seconds,0.14322590827941895,0.16147994995117188
config_id=8_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9736842105263158,0.5862615868449211,74,1845944320,1845944320,0,134021120,134021120,0,bytes,0.11917781829833984,0.16361665725708008,0.044438838958740234,wall,seconds,0.11917781829833984,0.16361665725708008
config_id=11_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9736842105263158,0.3146471522748471,36,1845944320,1845944320,0,134021120,134021120,0,bytes,0.17768645286560059,0.20061445236206055,0.02292799949645996,wall,seconds,0.17768645286560059,0.20061445236206055
config_id=10_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9210526315789473,0.24542713835835459,98,1845944320,1845944320,0,133693440,133693440,0,bytes,0.17339253425598145,0.23150014877319336,0.058107614517211914,wall,seconds,0.17339253425598145,0.23150014877319336
config_id=12_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,1.0,0.8226179204881191,60,1845944320,1845944320,0,134021120,134021120,0,bytes,0.2089073657989502,0.2452549934387207,0.03634762763977051,wall,seconds,0.2089073657989502,0.2452549934387207
config_id=13_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9210526315789473,0.7092947058379651,44,1845944320,1845944320,0,133693440,133693440,0,bytes,0.24030685424804688,0.27461934089660645,0.03431248664855957,wall,seconds,0.24030685424804688,0.27461934089660645
config_id=15_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9736842105263158,0.13531284704804422,18,1845944320,1845944320,0,133693440,133693440,0,bytes,0.28070569038391113,0.2946798801422119,0.013974189758300781,wall,seconds,0.28070569038391113,0.2946798801422119
config_id=14_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9473684210526315,0.4044230096042156,68,1845944320,1845944320,0,134021120,134021120,0,bytes,0.25128865242004395,0.29706239700317383,0.04577374458312988,wall,seconds,0.25128865242004395,0.29706239700317383
config_id=17_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9736842105263158,0.616924387216568,19,1845944320,1845944320,0,134021120,134021120,0,bytes,0.3047647476196289,0.3194239139556885,0.01465916633605957,wall,seconds,0.3047647476196289,0.3194239139556885
config_id=16_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.8947368421052632,0.6277334786951542,84,1845944320,1845944320,0,133693440,133693440,0,bytes,0.3028099536895752,0.36725854873657227,0.06444859504699707,wall,seconds,0.3028099536895752,0.36725854873657227
config_id=18_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9473684210526315,0.12179312705993653,88,1845944320,1845944320,0,134021120,134021120,0,bytes,0.3276848793029785,0.3881199359893799,0.06043505668640137,wall,seconds,0.3276848793029785,0.3881199359893799
config_id=19_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9736842105263158,0.4402318075299263,48,1845944320,1845944320,0,133693440,133693440,0,bytes,0.37698888778686523,0.4122004508972168,0.03521156311035156,wall,seconds,0.37698888778686523,0.4122004508972168
config_id=20_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9210526315789473,0.7478143230080605,69,1845944320,1845944320,0,134021120,134021120,0,bytes,0.396467924118042,0.44341254234313965,0.046944618225097656,wall,seconds,0.396467924118042,0.44341254234313965
config_id=21_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9210526315789473,0.5409726624203972,30,1845944320,1845944320,0,133693440,133693440,0,bytes,0.5344376564025879,0.5541489124298096,0.01971125602722168,wall,seconds,0.5344376564025879,0.5541489124298096
config_id=22_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9473684210526315,0.5406383220596604,31,1845944320,1845944320,0,134021120,134021120,0,bytes,0.5387861728668213,0.5580615997314453,0.019275426864624023,wall,seconds,0.5387861728668213,0.5580615997314453
config_id=23_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.8947368421052632,0.5408283782646592,31,1845944320,1845944320,0,133693440,133693440,0,bytes,0.5616652965545654,0.5819847583770752,0.020319461822509766,wall,seconds,0.5616652965545654,0.5819847583770752
config_id=24_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.8947368421052632,0.8129165461282645,31,1845944320,1845944320,0,134021120,134021120,0,bytes,0.5655968189239502,0.5851764678955078,0.019579648971557617,wall,seconds,0.5655968189239502,0.5851764678955078
config_id=25_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9473684210526315,0.8281027036663013,30,1845944320,1845944320,0,133693440,133693440,0,bytes,0.5891180038452148,0.6089985370635986,0.01988053321838379,wall,seconds,0.5891180038452148,0.6089985370635986
config_id=26_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9473684210526315,0.5401223282229646,31,1845944320,1845944320,0,134021120,134021120,0,bytes,0.5917320251464844,0.6108489036560059,0.019116878509521484,wall,seconds,0.5917320251464844,0.6108489036560059
config_id=27_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9210526315789473,0.5398513167031632,30,1845944320,1845944320,0,133693440,133693440,0,bytes,0.6158435344696045,0.6349654197692871,0.019121885299682617,wall,seconds,0.6158435344696045,0.6349654197692871
config_id=28_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,1.0,0.5395130113122981,30,1845944320,1845944320,0,134021120,134021120,0,bytes,0.6211230754852295,0.6391456127166748,0.018022537231445312,wall,seconds,0.6211230754852295,0.6391456127166748
config_id=29_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9473684210526315,0.5409468181431294,30,1845944320,1845944320,0,133693440,133693440,0,bytes,0.7553958892822266,0.7737948894500732,0.01839900016784668,wall,seconds,0.7553958892822266,0.7737948894500732
config_id=30_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9210526315789473,0.8216270671009801,77,1845944320,1845944320,0,134021120,134021120,0,bytes,0.7575197219848633,0.8079233169555664,0.050403594970703125,wall,seconds,0.7575197219848633,0.8079233169555664
config_id=31_seed=218175338_budget=None_instance=None,success,218175338,NA,NA,smac-doc-example,0.9736842105263158,0.8239996802846697,81,1845944320,1845944320,0,133693440,133693440,0,bytes,0.779930591583252,0.8295838832855225,0.04965329170227051,wall,seconds,0.779930591583252,0.8295838832855225
