config_id,budget,status,seed,metric:accuracy [0.0; 1.0] (maximize),max_samples,n_estimators,start_time,end_time
1,11.11111111111111,success,1589671044,0.9473684210526315,0.7960993093018,18,1723039635.3887446,1723039635.3887446
2,11.11111111111111,success,1589671044,0.9736842105263158,0.565821542938,38,1723039635.3887632,1723039635.3887632
3,11.11111111111111,success,1589671044,0.9210526315789473,0.3230711525609,14,1723039635.4135077,1723039635.4135077
5,11.11111111111111,success,1589671044,1.0,0.4288801023401,41,1723039635.4324117,1723039635.4324117
6,11.11111111111111,success,1589671044,0.9736842105263158,0.3172440491145,13,1723039635.4744923,1723039635.4744923
4,11.11111111111111,success,1589671044,0.9473684210526315,0.2487289856721,99,1723039635.4307294,1723039635.4307294
7,11.11111111111111,success,1589671044,0.9210526315789473,0.7090039515636,11,1723039635.4975655,1723039635.4975655
8,11.11111111111111,success,1589671044,0.9473684210526315,0.8572051531854,32,1723039635.5123248,1723039635.5123248
9,11.11111111111111,success,1589671044,0.9473684210526315,0.1149839249076,41,1723039635.5141845,1723039635.5141845
11,33.33333333333333,success,1589671044,0.9210526315789473,0.3608409009103,20,1723039635.5493765,1723039635.5493765
10,33.33333333333333,success,1589671044,0.9473684210526315,0.5255517636862,58,1723039635.541901,1723039635.541901
12,33.33333333333333,success,1589671044,0.9473684210526315,0.6593489903556,70,1723039635.5702782,1723039635.5702782
14,33.33333333333333,success,1589671044,0.9473684210526315,0.7690996066128,11,1723039635.6264098,1723039635.6264098
13,33.33333333333333,success,1589671044,0.9736842105263158,0.393115639133,57,1723039635.5949566,1723039635.5949566
2,33.33333333333333,success,1589671044,0.9473684210526315,0.565821542938,38,1723039635.6448543,1723039635.6448543
5,33.33333333333333,success,1589671044,0.9736842105263158,0.4288801023401,41,1723039635.64333,1723039635.64333
6,33.33333333333333,success,1589671044,0.9210526315789473,0.3172440491145,13,1723039635.6781166,1723039635.6781166
16,100.0,success,1589671044,0.9473684210526315,0.5113955906014,48,1723039635.6956384,1723039635.6956384
15,100.0,success,1589671044,0.9210526315789473,0.485074354598,96,1723039635.6827393,1723039635.6827393
17,100.0,success,1589671044,0.9473684210526315,0.5472426194628,12,1723039635.745474,1723039635.745474
18,11.11111111111111,success,1589671044,0.9210526315789473,0.1275598144869,15,1723039635.9515696,1723039635.9515696
19,11.11111111111111,success,1589671044,0.9736842105263158,0.6759440210939,67,1723039635.9539244,1723039635.9539244
21,11.11111111111111,success,1589671044,0.8947368421052632,0.5411998725632,15,1723039635.9967084,1723039635.9967084
20,11.11111111111111,success,1589671044,1.0,0.4368028380858,83,1723039635.9658017,1723039635.9658017
22,11.11111111111111,success,1589671044,0.9473684210526315,0.5865847203863,14,1723039636.0108588,1723039636.0108588
23,11.11111111111111,success,1589671044,1.0,0.7227042679137,42,1723039636.0156207,1723039636.0156207
25,11.11111111111111,success,1589671044,0.9473684210526315,0.7986252121045,16,1723039636.0483274,1723039636.0483274
24,11.11111111111111,success,1589671044,0.8947368421052632,0.1406260211632,74,1723039636.0291548,1723039636.0291548
13,100.0,success,1589671044,1.0,0.393115639133,57,1723039636.0869987,1723039636.0869987
26,11.11111111111111,success,1589671044,1.0,0.3159389160026,96,1723039636.0654356,1723039636.0654356
5,100.0,success,1589671044,0.9736842105263158,0.4288801023401,41,1723039636.1280873,1723039636.1280873
20,33.33333333333333,success,1589671044,0.9736842105263158,0.4368028380858,83,1723039636.1335263,1723039636.1335263
23,33.33333333333333,success,1589671044,0.9736842105263158,0.7227042679137,42,1723039636.1601918,1723039636.1601918
26,33.33333333333333,success,1589671044,0.9210526315789473,0.3159389160026,96,1723039636.1909711,1723039636.1909711
28,33.33333333333333,success,1589671044,0.9473684210526315,0.7284567778427,16,1723039636.3473198,1723039636.3473198
27,33.33333333333333,success,1589671044,1.0,0.6014600861858,32,1723039636.3433967,1723039636.3433967
30,33.33333333333333,success,1589671044,1.0,0.3236630549479,58,1723039636.3709087,1723039636.3709087
29,33.33333333333333,success,1589671044,0.9736842105263158,0.2402521246889,76,1723039636.36461,1723039636.36461
